growth_form,species_id,scientific_name,common_name
shrub,SRuePen,Ruella peninsularis,Ruellia (Baja Ruellia - shrub)
shrub,SRueBri,Ruellia brittoniana,katie Ruellia
shrub,SRusEqu,Russelia equisetfiformis,Firecracker plant
shrub,Ssal,Salvia,Unknown Salvia Species
shrub,SSalCle,Salvia clevelandii,Chapparral sage
shrub,SSalGre,Salvia greggii,white and red sage
shrub,SSalLeu,Salvia leucantha ,purple mexican brush sage
tree,Tsam,Sambucus,Elderberry Tree
shrub,SSalTri,Sansevieria trifasciata,Mother-In-Law's Tongue
tree,TSapDru,Sapindus drummondii,Western Soapberry
flower_herbaceous,FScrBac,Scrophulariaceae baccharifolius,Red Penstemon
flower_herbaceous,FSenDou,Senecio douglasii,Sandwash Groundsel
shrub,SSenWis,Senna wislizeni,Shrubby senna
flower_herbaceous,FSetPal,Setcreasea pallida,Moses in a Boat
shrub,SSimChi,Simmondsia chinesis,Jojoba
vine,VSolLax,Solanum laxum,Potato Vine
shrub,SSolLyc,Solanum lycopersicum,Tomato Plant
shrub,SSopSec,Sophora secundiflora,Texas Mountain Laurel
flower_herbaceous,FSphAmb,Sphaeralcea ambigua,Globe Mallow
cacti_succulent,CSteThu,Stenocereus thurberi,Organ Pipe Cactus
flower_herbaceous,FStrReg,Strelitzia reginae,Bird of Paradise
shrub,SStrReg,Strelitzia reginae,Tropical Bird-of-Paradise
tree,TSyaRom,Syagrus romanzoffiana,Queen Palm
shrub,Ssyr,Syringa,Lilac (unknown)
flower_herbaceous,FTeaPal,Teagetes palmeri,Mt. Lemmon marigold
shrub,STecCap,Tecoma capensis,Cape Honeysuckle
shrub,STecHyb,Tecoma Hybrid,Orange Jubilee
shrub,STecSta,Tecoma stans,"Trumpet bush, Yellow bells"
shrub,STecStaJub,Tecoma stans Jubilee,Orange Bells
cacti_succulent,CTepArt,Tephrocactus articulatus ,pine cone cactus
shrub,STeuFru,Teurcrium fruticans,Bush Germander
shrub,SThePer,Thevetia peruviana,Yellow Oleander
tree,TThuPli,Thuja plicata,Western Red Ceder
shrub,SThyVul,Thymus vulgaris,Orange Basil Thyme
shrub,STraJas,Trachelospermum jasminoides,Star Jasmine
tree,TTraFor,Trachycarpus fortunei,Windmill palm
cacti_succulent,CTriHua,Trichocereus huascha,Argentine hedgehog
cacti_succulent,CTriTer,Trichocereus tercheckii,Argentine saguaro
groundcover,GTroMaj,Tropaeolum majus,Nasturtium
tree,TUlmPar,Ulmus parvifolia,Chinese elm
unknown,UnkCac,Unknown Cactus,Unknown Cactus
unknown,UnkColCac,Unknown Columnar Cacti,Unknown Columnar Cacti
unknown,UnkDeaShr,Unknown Dead Shrub,Unknown Dead Shrub
unknown,UnkDeaTre,Unknown Dead Tree,Unknown Dead Tree
unknown,UnkFlo,Unknown Flower,Unknown Flower
tree,TFra,Unknown Fraxinus,Ash Tree - Species Unknown
unknown,UnkGra,Unknown Grass,Unknown Grass
unknown,UnkGro,Unknown Groundcover,Unknown Groundcover
unknown,UnkIvy,Unknown Ivy,Unknown Ivy
unknown,UnkShu,Unknown Shrub,Unknown Shrub
unknown,UnkTre,Unknown Tree,Unknown Tree
unknown,UnkVine,Unknown vine,Unknown Vine
shrub,Sver,Verbena,Verbena
shrub,SVerPulGra,Verbena pulchella gracilior,Moss verbena
vine,VVigCar,Vigna caracalla or Phaseolus caracalla,Snail Vine
flower_herbaceous,Fvin,Vinca (minor or major),
tree,TVitAgn,Vitex agnus-castus,Chaste Tree
vine,VVitVin,Vitis vinifera,Grape Vine
tree,TWasRob,Washingtonia robusta,"Washington, California, or Mexican fan palm"
vine,VWedTri,Wedelia trilobata,Yellow Dot
cacti_succulent,Cyuc,Yucca,Yucca (unknown)
cacti_succulent,CYucAlo,Yucca aloifolia,Spanish Bayonet
cacti_succulent,CYucBre,Yucca brevifolia,Joshua Tree
cacti_succulent,CYucEla,Yucca elata,Soaptree Yucca
cacti_succulent,CYucEle,Yucca elephantipes,Spineless Yucca
cacti_succulent,CYucFax,Yucca faxon,Faxon Yucca
cacti_succulent,CYucGlo,Yucca gloriosa,Spanish Dagger Yucca
cacti_succulent,CYucPal,Yucca pallida,Pale-leaf Yucca
cacti_succulent,CYucRec,Yucca recurvifolia,Pendulous Yucca
cacti_succulent,CYucRig,Yucca rigida,Blue Yucca
cacti_succulent,CYucSch,Yucca schoottii,Schott's Yucca
cacti_succulent,CYucWip,Yucca whipplei,Chapparral Yucca
flower_herbaceous,FZanAet,Zantedeschia aethrioica,Common Calla Lily
shrub,SZauAri,Zauschneria arizonica,Hummingbird Trumpet
flower_herbaceous,Fzin,Zinnia,Zinnia
flower_herbaceous,FIri,,Iris
flower_herbaceous,Fvar,,Various Flowers
tree,TFic,,"ficus tree, shrub"
grass,RTufGrs,,Turf Grass
